"","Species","Genus","Subspecies","ValidBinomial","Year"
"202131","stempfferi","Polyommatus","golestanus","Polyommatus stempfferi",2002
"202132","stempfferi","Polyommatus","jaffar","Polyommatus stempfferi",2002
"202133","stempfferi","Polyommatus","zoroaster","Polyommatus stempfferi",2002
"202135","stoliczkana","Polyommatus",NA,"Polyommatus stoliczkana",1865
"202140","stoliczkana","Polyommatus","arene","Polyommatus stoliczkana",1904
"202141","stoliczkana","Polyommatus","deosaiensis","Polyommatus stoliczkana",2006
"202142","stoliczkana","Polyommatus","hunza","Polyommatus stoliczkana",1890
"202143","stoliczkana","Polyommatus","janetae","Polyommatus stoliczkana",1927
"202161","surakovi","Polyommatus",NA,"Polyommatus surakovi",1994
"202170","surakovi","Polyommatus","attalaensis","Polyommatus surakovi",2004
"202171","surakovi","Polyommatus","kunchuy","Polyommatus surakovi",1999
"202181","tankeri","Polyommatus",NA,"Polyommatus tankeri",1960
"202183","tarch","Polyommatus",NA,"Polyommatus tarch",2007
"202187","tenhageni","Polyommatus",NA,"Polyommatus tenhageni",1999
"202191","theresiae","Polyommatus",NA,"Polyommatus theresiae",1992
"202193","theresiae","Polyommatus","larseni","Polyommatus theresiae",1994
"202194","thersites","Polyommatus",NA,"Polyommatus thersites",1835
"202254","thersites","Polyommatus","petrovi","Polyommatus thersites",2005
"202267","transcaspica","Polyommatus",NA,"Polyommatus transcaspica",1895
"202271","transcaspica","Polyommatus","avajica","Polyommatus transcaspica",1979
"202272","transcaspica","Polyommatus","difficillima","Polyommatus transcaspica",1956
"202273","transcaspica","Polyommatus","firuze","Polyommatus transcaspica",1993
"202274","transcaspica","Polyommatus","kotzschi","Polyommatus transcaspica",1956
"202275","transcaspica","Polyommatus","turcicola","Polyommatus transcaspica",1977
"202276","transcaspica","Polyommatus","zapvadi","Polyommatus transcaspica",1993
"202301","urmiaensis","Polyommatus",NA,"Polyommatus urmiaensis",2003
"202306","valiabadi","Polyommatus",NA,"Polyommatus valiabadi",1977
"202314","venus","Polyommatus",NA,"Polyommatus venus",1886
"202319","venus","Polyommatus","markusha","Polyommatus venus",2014
"202320","venus","Polyommatus","nuksani","Polyommatus venus",1937
"202326","violetae","Polyommatus",NA,"Polyommatus violetae",1979
"202329","violetae","Polyommatus","subbaeticus","Polyommatus violetae",2005
"202333","wagneri","Polyommatus",NA,"Polyommatus wagneri",1956
"202337","wagneri","Polyommatus","iphiactis","Polyommatus wagneri",2003
"202352","yurinekrutenko","Polyommatus",NA,"Polyommatus yurinekrutenko",1996
"202356","yurinekrutenko","Polyommatus","shamil","Polyommatus yurinekrutenko",2000
"202358","zarathustra","Polyommatus",NA,"Polyommatus zarathustra",1997
"202362","zardensis","Polyommatus",NA,"Polyommatus zardensis",2001
"202400","asine","Polythrix",NA,"Polythrix asine",1867
"202411","auginus","Polythrix",NA,"Polythrix auginus",1867
"202420","caunus","Polythrix",NA,"Polythrix caunus",1869
"202436","ceculus","Polythrix",NA,"Polythrix ceculus",1869
"202439","eudoxus","Polythrix",NA,"Polythrix eudoxus",1781
"202445","gyges","Polythrix",NA,"Polythrix gyges",1952
"202448","hirtius","Polythrix",NA,"Polythrix hirtius",1870
"202450","kanshul","Polythrix",NA,"Polythrix kanshul",1991
"202453","maizae","Polythrix",NA,"Polythrix maizae",1998
"202455","metallescens","Polythrix",NA,"Polythrix metallescens",1888
"202461","mexicanus","Polythrix",NA,"Polythrix mexicanus",1969
"202464","minvanes","Polythrix",NA,"Polythrix minvanes",1926
"202466","octomaculata","Polythrix",NA,"Polythrix octomaculata",1844
"202497","roma","Polythrix",NA,"Polythrix roma",1952
"202501","annama","Polytremis",NA,"Polytremis annama",1937
"202505","caerulescens","Polytremis",NA,"Polytremis caerulescens",1876
"202506","choui","Polytremis",NA,"Polytremis choui",1994
"202509","discreta","Polytremis",NA,"Polytremis discreta",1897
"202521","discreta","Polytremis","felicia","Polytremis discreta",1932
"202522","eltola","Polytremis",NA,"Polytremis eltola",1869
"202540","eltola","Polytremis","corbeti","Polytremis eltola",1937
"202541","eltola","Polytremis","tappana","Polytremis eltola",1919
"202544","gigantea","Polytremis",NA,"Polytremis gigantea",1997
"202545","gotama","Polytremis",NA,"Polytremis gotama",1999
"202548","jigongi","Polytremis",NA,"Polytremis jigongi",2012
"202549","kiraizana","Polytremis",NA,"Polytremis kiraizana",1938
"202550","lubricans","Polytremis",NA,"Polytremis lubricans",1869
"202580","lubricans","Polytremis","kuyaniana","Polytremis lubricans",1919
"202582","matsuii","Polytremis",NA,"Polytremis matsuii",1999
"202583","mencia","Polytremis",NA,"Polytremis mencia",1877
"202584","micropunctata","Polytremis",NA,"Polytremis micropunctata",2003
"202585","minuta","Polytremis",NA,"Polytremis minuta",1926
"202588","nascens","Polytremis",NA,"Polytremis nascens",1893
"202589","pellucida","Polytremis",NA,"Polytremis pellucida",1875
"202598","pellucida","Polytremis","inexpecta","Polytremis pellucida",1997
"202599","pellucida","Polytremis","quanta","Polytremis pellucida",1949
"202601","suprema","Polytremis",NA,"Polytremis suprema",1999
"202603","theca","Polytremis",NA,"Polytremis theca",1937
"202606","theca","Polytremis","asahinai","Polytremis theca",1952
"202607","theca","Polytremis","fukia","Polytremis theca",1940
"202608","theca","Polytremis","macrotheca","Polytremis theca",2003
"202609","zina","Polytremis",NA,"Polytremis zina",1932
"202612","zina","Polytremis","zinoides","Polytremis zina",1937
"202617","alphius","Polyura",NA,"Polyura alphius",1886
"202619","alphius","Polyura","agrarius","Polyura alphius",1887
"202620","alphius","Polyura","fruhstorferi","Polyura alphius",1895
"202621","alphius","Polyura","piepersianus","Polyura alphius",1924
"202622","alphius","Polyura","sumbaensis","Polyura alphius",1897
"202623","andrewsi","Polyura",NA,"Polyura andrewsi",1900
"202629","arja","Polyura",NA,"Polyura arja",1867
"202645","athamas","Polyura",NA,"Polyura athamas",1773
"202684","athamas","Polyura","acutus","Polyura athamas",1899
"202685","athamas","Polyura","agrarius","Polyura athamas",1878
"202686","athamas","Polyura","andamanicus","Polyura athamas",1906
"202687","athamas","Polyura","angustior","Polyura athamas",1990
"202688","athamas","Polyura","attalus","Polyura athamas",1867
