"","Species","Genus","Subspecies","ValidBinomial","Year"
"47275","iudith","Cepora","eirene","Cepora iudith",1891
"47276","iudith","Cepora","hespera","Cepora iudith",1899
"47277","iudith","Cepora","irma","Cepora iudith",1910
"47278","iudith","Cepora","jemajaensis","Cepora iudith",1999
"47279","iudith","Cepora","lea","Cepora iudith",1846
"47280","iudith","Cepora","licea","Cepora iudith",1787
"47281","iudith","Cepora","malaya","Cepora iudith",1899
"47282","iudith","Cepora","mentawaica","Cepora iudith",1994
"47283","iudith","Cepora","naomi","Cepora iudith",1867
"47284","iudith","Cepora","natuna","Cepora iudith",1899
"47285","iudith","Cepora","oberthueri","Cepora iudith",1891
"47286","iudith","Cepora","olga","Cepora iudith",1821
"47287","iudith","Cepora","olgina","Cepora iudith",1889
"47288","iudith","Cepora","orantia","Cepora iudith",1910
"47289","iudith","Cepora","phokaia","Cepora iudith",1910
"47290","iudith","Cepora","poetelia","Cepora iudith",1910
"47291","iudith","Cepora","rhemia","Cepora iudith",1910
"47292","iudith","Cepora","selma","Cepora iudith",1885
"47293","iudith","Cepora","siamensis","Cepora iudith",1899
"47294","iudith","Cepora","talboti","Cepora iudith",1937
"47295","iudith","Cepora","zisca","Cepora iudith",1899
"47298","julia","Cepora",NA,"Cepora julia",1891
"47302","julia","Cepora","calliparga","Cepora julia",1910
"47304","kotakii","Cepora",NA,"Cepora kotakii",1989
"47305","laeta","Cepora",NA,"Cepora laeta",1862
"47311","lichenosa","Cepora",NA,"Cepora lichenosa",1877
"47314","nadina","Cepora",NA,"Cepora nadina",1852
"47360","nadina","Cepora","andamana","Cepora nadina",1890
"47361","nadina","Cepora","andersoni","Cepora nadina",1885
"47362","nadina","Cepora","cingala","Cepora nadina",1905
"47363","nadina","Cepora","eunama","Cepora nadina",1903
"47364","nadina","Cepora","fawcetti","Cepora nadina",1899
"47365","nadina","Cepora","hainanensis","Cepora nadina",1913
"47366","nadina","Cepora","remba","Cepora nadina",1858
"47368","nerissa","Cepora",NA,"Cepora nerissa",1775
"47416","nerissa","Cepora","cibyra","Cepora nerissa",1910
"47417","nerissa","Cepora","corva","Cepora nerissa",1867
"47418","nerissa","Cepora","dapha","Cepora nerissa",1879
"47419","nerissa","Cepora","dissimilis","Cepora nerissa",1892
"47420","nerissa","Cepora","evagete","Cepora nerissa",1779
"47421","nerissa","Cepora","hira","Cepora nerissa",1865
"47422","nerissa","Cepora","margilatior","Cepora nerissa",1919
"47423","nerissa","Cepora","niasicola","Cepora nerissa",1981
"47424","nerissa","Cepora","physkon","Cepora nerissa",1910
"47425","nerissa","Cepora","sumatrana","Cepora nerissa",1894
"47426","nerissa","Cepora","vaso","Cepora nerissa",1891
"47427","nerissa","Cepora","yunnanensis","Cepora nerissa",1943
"47429","pactolicus","Cepora",NA,"Cepora pactolicus",1865
"47431","perimale","Cepora",NA,"Cepora perimale",1805
"47468","perimale","Cepora","acrisa","Cepora perimale",1859
"47469","perimale","Cepora","aelia","Cepora perimale",1903
"47470","perimale","Cepora","aeliana","Cepora perimale",1910
"47471","perimale","Cepora","agnata","Cepora perimale",1889
"47472","perimale","Cepora","amarella","Cepora perimale",1867
"47473","perimale","Cepora","babberica","Cepora perimale",1903
"47474","perimale","Cepora","bolana","Cepora perimale",1903
"47475","perimale","Cepora","chrysopis","Cepora perimale",1910
"47476","perimale","Cepora","consanguis","Cepora perimale",1883
"47477","perimale","Cepora","discolor","Cepora perimale",1887
"47478","perimale","Cepora","dohertyana","Cepora perimale",1894
"47479","perimale","Cepora","jeanneli","Cepora perimale",1950
"47480","perimale","Cepora","kuehni","Cepora perimale",1885
"47481","perimale","Cepora","latilimbata","Cepora perimale",1876
"47482","perimale","Cepora","leucophora","Cepora perimale",1897
"47483","perimale","Cepora","lucia","Cepora perimale",1903
"47484","perimale","Cepora","mentes","Cepora perimale",1867
"47485","perimale","Cepora","pallescens","Cepora perimale",1899
"47486","perimale","Cepora","perictione","Cepora perimale",1865
"47487","perimale","Cepora","perithea","Cepora perimale",1865
"47488","perimale","Cepora","pityna","Cepora perimale",1903
"47489","perimale","Cepora","pitys","Cepora perimale",1819
"47490","perimale","Cepora","pygmaea","Cepora perimale",1891
"47491","perimale","Cepora","quadricolor","Cepora perimale",1877
"47492","perimale","Cepora","rachel","Cepora perimale",1836
"47493","perimale","Cepora","radiata","Cepora perimale",1962
"47494","perimale","Cepora","scyllara","Cepora perimale",1826
"47495","perimale","Cepora","synchroma","Cepora perimale",1891
"47496","perimale","Cepora","toekangbesiensis","Cepora perimale",1920
"47497","perimale","Cepora","wallaceana","Cepora perimale",1865
"47498","perimale","Cepora","wetteri","Cepora perimale",1898
"47502","temena","Cepora",NA,"Cepora temena",1861
"47506","temena","Cepora","hyele","Cepora temena",1910
"47507","temena","Cepora","lenitas","Cepora temena",1910
"47508","temena","Cepora","tamar","Cepora temena",1867
"47509","timnatha","Cepora",NA,"Cepora timnatha",1862
"47510","timnatha","Cepora","aurulenta","Cepora timnatha",1899
"47511","timnatha","Cepora","butona","Cepora timnatha",2005
"47512","timnatha","Cepora","filia","Cepora timnatha",1902
"47513","timnatha","Cepora","filiola","Cepora timnatha",1899
"47514","timnatha","Cepora","soror","Cepora timnatha",1899
"47541","cayana","Ceratinia",NA,"Ceratinia cayana",1869
"47545","cayana","Ceratinia","giparanaensis","Ceratinia cayana",1964
"47577","iolaia","Ceratinia",NA,"Ceratinia iolaia",1856
"47578","iolaia","Ceratinia","conveniens","Ceratinia iolaia",1937
"47579","iolaia","Ceratinia","rehni","Ceratinia iolaia",1941
"47607","neso","Ceratinia",NA,"Ceratinia neso",1806
"47626","neso","Ceratinia","espriella","Ceratinia neso",1868
"47627","neso","Ceratinia","hamlini","Ceratinia neso",1906
"47628","neso","Ceratinia","immaculata","Ceratinia neso",2008
"47629","neso","Ceratinia","naranja","Ceratinia neso",2008
"47630","neso","Ceratinia","nisea","Ceratinia neso",1819
"47631","neso","Ceratinia","niselina","Ceratinia neso",1941
"47632","neso","Ceratinia","peruensis","Ceratinia neso",1905
"47633","neso","Ceratinia","tarapotis","Ceratinia neso",1909
"47662","tutia","Ceratinia",NA,"Ceratinia tutia",1852
"47679","tutia","Ceratinia","azara","Ceratinia tutia",1852
"47680","tutia","Ceratinia","callichroma","Ceratinia tutia",1885
"47681","tutia","Ceratinia","chanchamaya","Ceratinia tutia",1905
"47682","tutia","Ceratinia","dorilla","Ceratinia tutia",1864
"47683","tutia","Ceratinia","fuscens","Ceratinia tutia",1905
"47684","tutia","Ceratinia","hopfferi","Ceratinia tutia",1899
"47685","tutia","Ceratinia","poecila","Ceratinia tutia",1862
"47686","tutia","Ceratinia","poeciloides","Ceratinia tutia",1919
"47687","tutia","Ceratinia","porrecta","Ceratinia tutia",1905
"47688","tutia","Ceratinia","radiosa","Ceratinia tutia",1903
"47689","tutia","Ceratinia","robusta","Ceratinia tutia",1905
"47690","tutia","Ceratinia","selenides","Ceratinia tutia",1899
"47691","tutia","Ceratinia","singularis","Ceratinia tutia",1901
"47692","tutia","Ceratinia","tosca","Ceratinia tutia",1902
"47693","tutia","Ceratinia","transversa","Ceratinia tutia",1925
"47706","argyrosticta","Ceratrichia",NA,"Ceratrichia argyrosticta",1879
"47716","argyrosticta","Ceratrichia","enta","Ceratrichia argyrosticta",1947
"47717","aurea","Ceratrichia",NA,"Ceratrichia aurea",1910
"47722","bonga","Ceratrichia",NA,"Ceratrichia bonga",1947
"47723","brunnea","Ceratrichia",NA,"Ceratrichia brunnea",1906
"47731","brunnea","Ceratrichia","ialemia","Ceratrichia brunnea",1909
"47733","clara","Ceratrichia",NA,"Ceratrichia clara",1925
"47745","clara","Ceratrichia","medea","Ceratrichia clara",1937
"47746","crowleyi","Ceratrichia",NA,"Ceratrichia crowleyi",1925
"47753","fako","Ceratrichia",NA,"Ceratrichia fako",2016
"47757","flava","Ceratrichia",NA,"Ceratrichia flava",1878
"47766","flava","Ceratrichia","fernanda","Ceratrichia flava",1937
"47768","hollandi","Ceratrichia",NA,"Ceratrichia hollandi",1908
"47784","lewisi","Ceratrichia",NA,"Ceratrichia lewisi",2000
"47786","mabirensis","Ceratrichia",NA,"Ceratrichia mabirensis",1925
"47790","maesseni","Ceratrichia",NA,"Ceratrichia maesseni",1971
"47795","manengouba","Ceratrichia",NA,"Ceratrichia manengouba",2014
"47798","nothus","Ceratrichia",NA,"Ceratrichia nothus",1787
"47810","nothus","Ceratrichia","enantia","Ceratrichia nothus",1893
"47811","nothus","Ceratrichia","makomensis","Ceratrichia nothus",1913
"47812","nothus","Ceratrichia","yakoli","Ceratrichia nothus",2003
"47814","phocion","Ceratrichia",NA,"Ceratrichia phocion",1781
"47837","phocion","Ceratrichia","camerona","Ceratrichia phocion",1971
"47838","punctata","Ceratrichia",NA,"Ceratrichia punctata",1937
"47844","semlikensis","Ceratrichia",NA,"Ceratrichia semlikensis",1921
"47853","wollastoni","Ceratrichia",NA,"Ceratrichia wollastoni",1909
"47863","semilutea","Ceratricula",NA,"Ceratricula semilutea",1891
"47876","semilutea","Ceratricula","congdoni","Ceratricula semilutea",2013
"47877","semilutea","Ceratricula","indeterminabilis","Ceratricula semilutea",1912
"47878","adolphifriderici","Cerautola",NA,"Cerautola adolphifriderici",1911
"47880","ceraunia","Cerautola",NA,"Cerautola ceraunia",1873
"47908","crippsi","Cerautola",NA,"Cerautola crippsi",1933
"47912","crippsi","Cerautola","teresae","Cerautola crippsi",2015
"47913","crowleyi","Cerautola",NA,"Cerautola crowleyi",1890
"47963","crowleyi","Cerautola","congdoni","Cerautola crowleyi",1999
"47964","crowleyi","Cerautola","holochroma","Cerautola crowleyi",1981
"47965","crowleyi","Cerautola","leucographa","Cerautola crowleyi",1999
"47966","cuypersi","Cerautola",NA,"Cerautola cuypersi",2015
"47968","delassisei","Cerautola",NA,"Cerautola delassisei",2013
"47969","fisheri","Cerautola",NA,"Cerautola fisheri",1999
"47972","legeri","Cerautola",NA,"Cerautola legeri",1999
"47976","miranda","Cerautola",NA,"Cerautola miranda",1889
"48003","miranda","Cerautola","vidua","Cerautola miranda",1935
"48004","mittoni","Cerautola",NA,"Cerautola mittoni",1964
"48006","richardsoni","Cerautola",NA,"Cerautola richardsoni",2015
"48007","semibrunnea","Cerautola",NA,"Cerautola semibrunnea",1916
"48017","semibrunnea","Cerautola","bamptoni","Cerautola semibrunnea",1999
"48019","subargentea","Cerautola",NA,"Cerautola subargentea",1965
"48021","subargentea","Cerautola","continua","Cerautola subargentea",1999
"48023","luederwaldti","Cercyeuptychia",NA,"Cercyeuptychia luederwaldti",1931
"48034","incognita","Cercyonis",NA,"Cercyonis incognita",2012
"48039","meadii","Cercyonis",NA,"Cercyonis meadii",1872
"48041","meadii","Cercyonis","alamosa","Cercyonis meadii",1969
"48042","meadii","Cercyonis","damei","Cercyonis meadii",1926
"48043","meadii","Cercyonis","melania","Cercyonis meadii",1946
"48045","oetus","Cercyonis",NA,"Cercyonis oetus",1869
"48047","oetus","Cercyonis","alkalorum","Cercyonis oetus",1998
"48048","oetus","Cercyonis","charon","Cercyonis oetus",1872
"48049","oetus","Cercyonis","pallescens","Cercyonis oetus",1971
"48050","oetus","Cercyonis","phocus","Cercyonis oetus",1874
"48055","pegala","Cercyonis",NA,"Cercyonis pegala",1775
"48063","pegala","Cercyonis","alope","Cercyonis pegala",1793
"48064","pegala","Cercyonis","ariane","Cercyonis pegala",1852
"48065","pegala","Cercyonis","australosierra","Cercyonis pegala",2008
"48066","pegala","Cercyonis","boopis","Cercyonis pegala",1864
"48067","pegala","Cercyonis","carsonensis","Cercyonis pegala",1992
"48068","pegala","Cercyonis","gabbii","Cercyonis pegala",1870
"48069","pegala","Cercyonis","incana","Cercyonis pegala",1880
"48070","pegala","Cercyonis","ino","Cercyonis pegala",1924
"48071","pegala","Cercyonis","nephele","Cercyonis pegala",1837
"48072","pegala","Cercyonis","olympus","Cercyonis pegala",1880
"48073","pegala","Cercyonis","paludum","Cercyonis pegala",1992
"48074","pegala","Cercyonis","paucilineatus","Cercyonis pegala",1992
"48075","pegala","Cercyonis","pluvialis","Cercyonis pegala",1992
"48076","pegala","Cercyonis","stephensi","Cercyonis pegala",1905
"48077","pegala","Cercyonis","texana","Cercyonis pegala",1880
"48078","pegala","Cercyonis","utahensis","Cercyonis pegala",1992
"48079","pegala","Cercyonis","walkerensis","Cercyonis pegala",1992
"48080","pegala","Cercyonis","wheeleri","Cercyonis pegala",1873
"48083","sthenele","Cercyonis",NA,"Cercyonis sthenele",1852
"48085","sthenele","Cercyonis","behrii","Cercyonis sthenele",1905
"48086","sthenele","Cercyonis","hypoleuca","Cercyonis sthenele",1998
"48087","sthenele","Cercyonis","masoni","Cercyonis sthenele",1937
"48088","sthenele","Cercyonis","paulus","Cercyonis sthenele",1879
"48089","sthenele","Cercyonis","silvestris","Cercyonis sthenele",1861
"48090","sthenele","Cercyonis","sineocellata","Cercyonis sthenele",1998
"48093","waggae","Cesa",NA,"Cesa waggae",1898
"48120","biblis","Cethosia",NA,"Cethosia biblis",1773
"48154","biblis","Cethosia","adantonia","Cethosia biblis",1912
"48155","biblis","Cethosia","amboinensis","Cethosia biblis",1867
"48156","biblis","Cethosia","buruana","Cethosia biblis",1900
"48157","biblis","Cethosia","insularis","Cethosia biblis",1861
"48158","biblis","Cethosia","javana","Cethosia biblis",1867
"48159","biblis","Cethosia","liacura","Cethosia biblis",1912
"48160","biblis","Cethosia","logani","Cethosia biblis",1881
"48161","biblis","Cethosia","mapuna","Cethosia biblis",2009
"48162","biblis","Cethosia","moesta","Cethosia biblis",1867
"48163","biblis","Cethosia","nikobarica","Cethosia biblis",1863
"48164","biblis","Cethosia","pemanggilensis","Cethosia biblis",1978
"48165","biblis","Cethosia","perakana","Cethosia biblis",1902
"48166","biblis","Cethosia","picta","Cethosia biblis",1867
"48167","biblis","Cethosia","placito","Cethosia biblis",1985
"48168","biblis","Cethosia","sandakana","Cethosia biblis",1899
"48169","biblis","Cethosia","tagalorum","Cethosia biblis",1912
"48170","biblis","Cethosia","togiana","Cethosia biblis",1902
"48171","biblis","Cethosia","woolletti","Cethosia biblis",1929
"48184","cyane","Cethosia",NA,"Cethosia cyane",1773
"48194","cydippe","Cethosia",NA,"Cethosia cydippe",1767
"48211","cydippe","Cethosia","alkmene","Cethosia cydippe",1902
"48212","cydippe","Cethosia","antoni","Cethosia cydippe",1996
"48213","cydippe","Cethosia","aruensis","Cethosia cydippe",1932
"48214","cydippe","Cethosia","auyuenlingae","Cethosia cydippe",2015
"48215","cydippe","Cethosia","bernsteinii","Cethosia cydippe",1867
"48216","cydippe","Cethosia","chrysippe","Cethosia cydippe",1775
"48217","cydippe","Cethosia","cleanthis","Cethosia cydippe",1902
"48218","cydippe","Cethosia","cydalima","Cethosia cydippe",1867
"48219","cydippe","Cethosia","cyrene","Cethosia cydippe",1869
"48220","cydippe","Cethosia","damasippe","Cethosia cydippe",1867
"48221","cydippe","Cethosia","felderi","Cethosia cydippe",2008
"48222","cydippe","Cethosia","insulata","Cethosia cydippe",1873
"48223","cydippe","Cethosia","kalii","Cethosia cydippe",2015
"48224","cydippe","Cethosia","kennowayi","Cethosia cydippe",2015
"48225","cydippe","Cethosia","obiana","Cethosia cydippe",1903
"48226","cydippe","Cethosia","planti","Cethosia cydippe",2015
"48227","cydippe","Cethosia","salwattensis","Cethosia cydippe",1913
"48228","cydippe","Cethosia","sangira","Cethosia cydippe",1906
"48229","cydippe","Cethosia","schoutensis","Cethosia cydippe",1915
"48230","cydippe","Cethosia","ternatensis","Cethosia cydippe",1929
"48231","cydippe","Cethosia","theona","Cethosia cydippe",1903
"48232","cydippe","Cethosia","woodlarkiana","Cethosia cydippe",1902
"48255","hypsea","Cethosia",NA,"Cethosia hypsea",1847
"48261","hypsea","Cethosia","aeole","Cethosia hypsea",1858
"48262","hypsea","Cethosia","bankana","Cethosia hypsea",1912
"48263","hypsea","Cethosia","batuensis","Cethosia hypsea",1908
"48264","hypsea","Cethosia","elioti","Cethosia hypsea",1983
"48265","hypsea","Cethosia","fruhstorferi","Cethosia hypsea",1908
"48266","hypsea","Cethosia","gabinia","Cethosia hypsea",1883
"48267","hypsea","Cethosia","hypsina","Cethosia hypsea",1867
"48268","hypsea","Cethosia","lepidus","Cethosia hypsea",1985
"48269","hypsea","Cethosia","mindanensis","Cethosia hypsea",1863
"48270","hypsea","Cethosia","munjava","Cethosia hypsea",1912
"48271","hypsea","Cethosia","nanae","Cethosia hypsea",1985
"48272","hypsea","Cethosia","nigrescens","Cethosia hypsea",1913
"48273","hypsea","Cethosia","palawana","Cethosia hypsea",1900
"48274","hypsea","Cethosia","pallaurea","Cethosia hypsea",1898
"48275","hypsea","Cethosia","triocala","Cethosia hypsea",1912
"48289","lamarckii","Cethosia",NA,"Cethosia lamarckii",1819
"48292","lamarckii","Cethosia","sensus","Cethosia lamarckii",1985
"48293","lamarckii","Cethosia","timorensis","Cethosia lamarckii",1908
"48295","leschenaulti","Cethosia",NA,"Cethosia leschenaulti",1823
"48299","luzonica","Cethosia",NA,"Cethosia luzonica",1863
"48300","luzonica","Cethosia","boholica","Cethosia luzonica",1888
"48301","luzonica","Cethosia","magindanaica","Cethosia luzonica",1888
"48302","luzonica","Cethosia","pariana","Cethosia luzonica",1888
"48309","methypsea","Cethosia",NA,"Cethosia methypsea",1879
"48312","methypsea","Cethosia","carolinae","Cethosia methypsea",1885
"48317","myrina","Cethosia",NA,"Cethosia myrina",1867
"48320","myrina","Cethosia","bemmeleni","Cethosia myrina",1918
"48321","myrina","Cethosia","melancholia","Cethosia myrina",1909
"48322","myrina","Cethosia","ribbei","Cethosia myrina",1887
"48323","myrina","Cethosia","sarnada","Cethosia myrina",1912
"48329","nietneri","Cethosia",NA,"Cethosia nietneri",1867
"48335","nietneri","Cethosia","mahratta","Cethosia nietneri",1872
"48339","obscura","Cethosia",NA,"Cethosia obscura",1830
"48341","obscura","Cethosia","antippe","Cethosia obscura",1889
"48342","obscura","Cethosia","gabrielis","Cethosia obscura",1898
"48343","obscura","Cethosia","hormisda","Cethosia obscura",1915
"48351","penthesilea","Cethosia",NA,"Cethosia penthesilea",1777
"48357","penthesilea","Cethosia","diffusa","Cethosia penthesilea",1905
"48358","penthesilea","Cethosia","exsanguis","Cethosia penthesilea",1897
"48359","penthesilea","Cethosia","paksha","Cethosia penthesilea",1905
"48368","rubra","Cethosia",NA,"Cethosia rubra",2002
"48380","tambora","Cethosia",NA,"Cethosia tambora",1891
"48382","tambora","Cethosia","adonarensis","Cethosia tambora",1932
"48383","tambora","Cethosia","alceste","Cethosia tambora",1905
"48384","tambora","Cethosia","atia","Cethosia tambora",1905
"48385","tambora","Cethosia","floresiana","Cethosia tambora",1902
"48386","tambora","Cethosia","illicibilis","Cethosia tambora",1985
"48387","tambora","Cethosia","nacoleia","Cethosia tambora",1912
"48388","tambora","Cethosia","narmada","Cethosia tambora",1896
"48389","tambora","Cethosia","narmadoides","Cethosia tambora",1898
"48390","tambora","Cethosia","sabinae","Cethosia tambora",2006
"48391","tambora","Cethosia","sumbana","Cethosia tambora",1894
"48402","vasalia","Cethosia",NA,"Cethosia vasalia",1999
"48413","antipodes","Chaetocneme",NA,"Chaetocneme antipodes",1831
"48416","antipodes","Chaetocneme","biaka","Chaetocneme antipodes",1916
"48417","beata","Chaetocneme",NA,"Chaetocneme beata",1867
"48419","callixenus","Chaetocneme",NA,"Chaetocneme callixenus",1867
"48422","callixenus","Chaetocneme","stringa","Chaetocneme callixenus",1949
"48423","caristus","Chaetocneme",NA,"Chaetocneme caristus",1867
"48426","critomedia","Chaetocneme",NA,"Chaetocneme critomedia",1831
"48430","denitza","Chaetocneme",NA,"Chaetocneme denitza",1867
"48432","editus","Chaetocneme",NA,"Chaetocneme editus",1885
"48433","helirius","Chaetocneme",NA,"Chaetocneme helirius",1775
"48438","kumpiana","Chaetocneme",NA,"Chaetocneme kumpiana",1934
"48439","lunula","Chaetocneme",NA,"Chaetocneme lunula",1888
"48440","morea","Chaetocneme",NA,"Chaetocneme morea",1934
"48441","naevifera","Chaetocneme",NA,"Chaetocneme naevifera",1888
"48443","naevifera","Chaetocneme","dissimilis","Chaetocneme naevifera",1905
"48444","porphyropis","Chaetocneme",NA,"Chaetocneme porphyropis",1902
"48448","sombra","Chaetocneme",NA,"Chaetocneme sombra",1934
"48449","sphinterifera","Chaetocneme",NA,"Chaetocneme sphinterifera",1910
"48452","sphinterifera","Chaetocneme","hydra","Chaetocneme sphinterifera",1934
"48454","tenuis","Chaetocneme",NA,"Chaetocneme tenuis",1924
"48455","tenuis","Chaetocneme","hibernia","Chaetocneme tenuis",1934
"48456","trifenestrata","Chaetocneme",NA,"Chaetocneme trifenestrata",1910
"48457","triton","Chaetocneme",NA,"Chaetocneme triton",1832
"48463","kurumi","Chaetoprocta",NA,"Chaetoprocta kurumi",1970
"48465","kurumi","Chaetoprocta","baileyi","Chaetoprocta kurumi",1980
"48466","odata","Chaetoprocta",NA,"Chaetoprocta odata",1865
"48477","odata","Chaetoprocta","peilei","Chaetoprocta odata",1980
"48481","briquenydan","Chalcone",NA,"Chalcone briquenydan",1901
"48486","briquenydan","Chalcone","australis","Chalcone briquenydan",1980
"48487","briquenydan","Chalcone","chalcone","Chalcone briquenydan",1902
"48489","santarus","Chalcone",NA,"Chalcone santarus",1940
"48491","tania","Chalcone",NA,"Chalcone tania",1902
"48493","zisa","Chalcone",NA,"Chalcone zisa",1882
"48496","elwesi","Chalinga",NA,"Chalinga elwesi",1883
"48502","pratti","Chalinga",NA,"Chalinga pratti",1890
"48513","puerensis","Chalinga",NA,"Chalinga puerensis",2017
"48516","chaonitis","Chalodeta",NA,"Chalodeta chaonitis",1866
"48540","chelonis","Chalodeta",NA,"Chalodeta chelonis",1866
"48542","chitinosa","Chalodeta",NA,"Chalodeta chitinosa",2002
"48556","chlosine","Chalodeta",NA,"Chalodeta chlosine",2002
"48568","lypera","Chalodeta",NA,"Chalodeta lypera",1868
"48581","panurga","Chalodeta",NA,"Chalodeta panurga",1910
"48582","pescada","Chalodeta",NA,"Chalodeta pescada",1998
"48586","theodora","Chalodeta",NA,"Chalodeta theodora",1862
"48602","chloris","Chalybs",NA,"Chalybs chloris",1877
"48605","hassan","Chalybs",NA,"Chalybs hassan",1790
"48618","janias","Chalybs",NA,"Chalybs janias",1779
"48640","lineata","Chalybs",NA,"Chalybs lineata",1936
"48646","chalybea","Chalypyge",NA,"Chalypyge chalybea",1872
"48649","chalybea","Chalypyge","chloris","Chalypyge chalybea",1951
"48650","zereda","Chalypyge",NA,"Chalypyge zereda",1866
"48658","zereda","Chalypyge","hygieia","Chalypyge zereda",1867
"48659","zereda","Chalypyge","insana","Chalypyge zereda",1876
"48660","zereda","Chalypyge","rufinucha","Chalypyge zereda",1879
"48661","zereda","Chalypyge","rufipectus","Chalypyge zereda",1879
"48662","zereda","Chalypyge","zepha","Chalypyge zereda",1951
"48665","briola","Chamaelimnas",NA,"Chamaelimnas briola",1868
"48689","briola","Chamaelimnas","doryphora","Chamaelimnas briola",1910
"48690","briola","Chamaelimnas","meridionalis","Chamaelimnas briola",1932
"48691","briola","Chamaelimnas","urbana","Chamaelimnas briola",1916
"48692","cercides","Chamaelimnas",NA,"Chamaelimnas cercides",1871
"48693","cydonia","Chamaelimnas",NA,"Chamaelimnas cydonia",1910
"48707","joviana","Chamaelimnas",NA,"Chamaelimnas joviana",1902
"48721","splendens","Chamaelimnas",NA,"Chamaelimnas splendens",1902
"48726","tircis","Chamaelimnas",NA,"Chamaelimnas tircis",1865
"48735","tircis","Chamaelimnas","iaeris","Chamaelimnas tircis",1868
"48736","tircis","Chamaelimnas","pansa","Chamaelimnas tircis",1903
"48741","chamunda","Chamunda",NA,"Chamunda chamunda",1866
"48758","cepheis","Charana",NA,"Charana cepheis",1894
"48761","dato","Charana",NA,"Charana dato",1896
"48765","mandarinus","Charana",NA,"Charana mandarinus",1863
"48786","mandarinus","Charana","dea","Charana mandarinus",1933
"48787","mandarinus","Charana","splendida","Charana mandarinus",1911
"48792","achaemenes","Charaxes",NA,"Charaxes achaemenes",1867
"48850","achaemenes","Charaxes","atlantica","Charaxes achaemenes",1970
"48851","achaemenes","Charaxes","monticola","Charaxes achaemenes",1925
"48855","acraeoides","Charaxes",NA,"Charaxes acraeoides",1908
"48871","acuminatus","Charaxes",NA,"Charaxes acuminatus",1903
"48890","acuminatus","Charaxes","cottrelli","Charaxes acuminatus",1963
"48891","acuminatus","Charaxes","kigezia","Charaxes acuminatus",1963
"48892","acuminatus","Charaxes","kulalensis","Charaxes acuminatus",1963
"48893","acuminatus","Charaxes","mlanji","Charaxes acuminatus",1963
"48894","acuminatus","Charaxes","nyika","Charaxes acuminatus",1963
"48895","acuminatus","Charaxes","oreas","Charaxes acuminatus",1932
"48896","acuminatus","Charaxes","rondonis","Charaxes acuminatus",1987
"48897","acuminatus","Charaxes","shimbanus","Charaxes acuminatus",1963
"48898","acuminatus","Charaxes","stonehamiana","Charaxes acuminatus",1991
"48899","acuminatus","Charaxes","teitensis","Charaxes acuminatus",1963
"48900","acuminatus","Charaxes","thiryi","Charaxes acuminatus",2001
"48901","acuminatus","Charaxes","usambarensis","Charaxes acuminatus",1963
"48902","acuminatus","Charaxes","vumba","Charaxes acuminatus",1963
"48910","affinis","Charaxes",NA,"Charaxes affinis",1866
"48911","affinis","Charaxes","butongensis","Charaxes affinis",1991
"48912","affinis","Charaxes","spadix","Charaxes affinis",1991
"48934","alpinus","Charaxes",NA,"Charaxes alpinus",1957
"48938","alticola","Charaxes",NA,"Charaxes alticola",1912
"48949","ameliae","Charaxes",NA,"Charaxes ameliae",1861
"48989","ameliae","Charaxes","amelina","Charaxes ameliae",1925
"48990","ameliae","Charaxes","doumeti","Charaxes ameliae",1989
"48991","ameliae","Charaxes","victoriae","Charaxes ameliae",1972
"48993","amycus","Charaxes",NA,"Charaxes amycus",1861
"48995","amycus","Charaxes","basilium","Charaxes amycus",1991
"48996","amycus","Charaxes","bayanii","Charaxes amycus",1982
"48997","amycus","Charaxes","boholensis","Charaxes amycus",1991
"48998","amycus","Charaxes","carolus","Charaxes amycus",1900
"48999","amycus","Charaxes","georgius","Charaxes amycus",1892
"49000","amycus","Charaxes","leonides","Charaxes amycus",1991
"49001","amycus","Charaxes","leytensis","Charaxes amycus",1986
"49002","amycus","Charaxes","marion","Charaxes amycus",1981
"49003","amycus","Charaxes","negrosensis","Charaxes amycus",1982
"49004","amycus","Charaxes","shunichii","Charaxes amycus",1989
"49005","amycus","Charaxes","theobaldo","Charaxes amycus",1982
"49006","analava","Charaxes",NA,"Charaxes analava",1872
"49010","andara","Charaxes",NA,"Charaxes andara",1873
"49013","andranodorus","Charaxes",NA,"Charaxes andranodorus",1884
"49016","andrefana","Charaxes",NA,"Charaxes andrefana",1975
"49021","angelae","Charaxes",NA,"Charaxes angelae",1975
"49028","ansorgei","Charaxes",NA,"Charaxes ansorgei",1897
"49050","ansorgei","Charaxes","jacksoni","Charaxes ansorgei",1933
"49051","ansorgei","Charaxes","kilimanjarica","Charaxes ansorgei",1967
"49052","ansorgei","Charaxes","kinyeti","Charaxes ansorgei",1989
"49053","ansorgei","Charaxes","kungwensis","Charaxes ansorgei",1967
"49054","ansorgei","Charaxes","levicki","Charaxes ansorgei",1933
"49055","ansorgei","Charaxes","loita","Charaxes ansorgei",1982
"49056","ansorgei","Charaxes","ruandana","Charaxes ansorgei",1932
"49057","ansorgei","Charaxes","rydoni","Charaxes ansorgei",1967
"49058","ansorgei","Charaxes","simoni","Charaxes ansorgei",1987
"49059","ansorgei","Charaxes","ufipa","Charaxes ansorgei",1978
"49060","antamboulou","Charaxes",NA,"Charaxes antamboulou",1872
