accid,canonical,taxonRank,status,authorship,id,group
0,Aenictus_paradentatus,species,accepted,"Jaitrong et al., 2012",430659,ants
0,Aenictus_parahuonicus,species,accepted,"Jaitrong & Yamane, 2011",430660,ants
0,Aenictus_peguensis,species,accepted,"Emery, 1895",430661,ants
0,Aenictus_pfeifferi,species,accepted,"Zettel & Sorger, 2010",430662,ants
0,Aenictus_pharao,species,accepted,"Santschi, 1924",430663,ants
0,Aenictus_philiporum,species,accepted,"Wilson, 1964",430664,ants
0,Aenictus_philippinensis,species,accepted,"Chapman, 1963",430665,ants
0,Aenictus_piercei,species,accepted,"Wheeler & Chapman, 1930",430666,ants
0,Aenictus_porizonoides,species,accepted,"Walker, 1860",430668,ants
0,Aenictus_powersi,species,accepted,"Wheeler, 1930",430669,ants
0,Aenictus_prolixus,species,accepted,"Shattuck, 2008",430670,ants
0,Aenictus_pubescens,species,accepted,"Smith, 1859",430671,ants
0,Aenictus_moebii_pudicus,species,accepted,"Santschi, 1919",430672,ants
0,Aenictus_punctatus,species,accepted,"Jaitrong & Yamane, 2012",430673,ants
0,Aenictus_punctiventris,species,accepted,"Emery, 1901",430674,ants
0,Aenictus_punensis,species,accepted,"Forel, 1901",430675,ants
0,Aenictus_rabori,species,accepted,"Chapman, 1963",430676,ants
0,Aenictus_raptor,species,accepted,"Forel, 1913",430677,ants
0,Aenictus_reyesi,species,accepted,"Chapman, 1963",430678,ants
0,Aenictus_rhodiensis,species,accepted,"Menozzi, 1936",430679,ants
0,Aenictus_rixator,species,accepted,"Emery, 1901",430680,ants
0,Aenictus_rotundatus,species,accepted,"Mayr, 1901",430681,ants
0,Aenictus_rotundicollis,species,accepted,"Jaitrong & Yamane, 2011",430682,ants
0,Aenictus_rougieri,species,accepted,"Andre, 1893",430683,ants
0,Aenictus_sagei,species,accepted,"Forel, 1901",430684,ants
0,Aenictus_fuscovarius_sagittarius,species,accepted,"Santschi, 1938",430685,ants
0,Aenictus_moebii_sankisianus,species,accepted,"Forel, 1913",430686,ants
0,Aenictus_latiscapus_sauteri,species,accepted,"Forel, 1913",430688,ants
0,Aenictus_schneirlai,species,accepted,"Wilson, 1964",430689,ants
0,Aenictus_punctiventris_scutellaris,species,accepted,"Forel, 1912",430690,ants
0,Aenictus_shillongensis,species,accepted,"Mathew & Tiwari, 2000",430691,ants
0,Aenictus_shuckardi,species,accepted,"Forel, 1901",430692,ants
0,Aenictus_siamensis,species,accepted,"Jaitrong & Yamane, 2011",430693,ants
0,Aenictus_silvestrii,species,accepted,"Wheeler, 1929",430694,ants
